agent,network,world,train_pr,infer_pr,omnet_slot,omnet_group_run,ue_tx_power_dbm,n_success,n_total,source_repeats,travel_time_mean,travel_time_std,travel_time_ci95_low,travel_time_ci95_high,loss_mean,loss_std,loss_ci95_low,loss_ci95_high,reward_mean,reward_std,reward_ci95_low,reward_ci95_high,queue_mean,queue_std,queue_ci95_low,queue_ci95_high,delay_mean,delay_std,delay_ci95_low,delay_ci95_high,throughput_mean,throughput_std,throughput_ci95_low,throughput_ci95_high
mplight,sumohz4x4,sumo,0.1,1,1,1,26,3,3,"omnet_1_mplight,omnet_2_mplight,omnet_3_mplight",300.833333333333,0.635085296108569,299.255566666667,302.4111,0,0,0,0,-5.08666666666667,0.997864386243608,-7.5656992881364,-2.60763404519693,4.19333333333333,0.720023147776051,2.40455231643632,5.98211435023035,0.09,1.69967494438815E-17,0.09,0.0900000000000001,407.666666666667,18.1475434517549,362.582031082271,442.751302251063
mplight,sumohz4x4,sumo,0.1,1,2,2,21,3,3,"omnet_1_mplight,omnet_2_mplight,omnet_3_mplight",296.733333333333,0.665832811847941,295.079179438504,298.387487228162,0,0,0,0,-4.69666666666667,1.45884657635179,-8.32093495637855,-1.07239837695478,3.85666666666667,1.12828778834716,1.0536182040916,6.65971512924173,0.08,0,0.08,0.08,400,39.2810386828047,357.412614737696,422.587385262304
mplight,sumohz4x4,sumo,0.1,1,3,3,16,3,3,"omnet_1_mplight,omnet_2_mplight,omnet_3_mplight",296.966666666667,4.61988455844229,285.489310940087,308.444022393246,0,0,0,0,-4.05666666666667,0.56888780381841,-5.46997637394168,-2.64335695939166,3.31,0.435889894354067,2.22710208083433,4.39289791916567,0.0666666666666667,0.00577350269189626,0.0523233333333333,0.08101,396.333333333333,18.1475434517549,351.248697748937,421.417968917729
mplight,sumohz4x4,sumo,0.1,1,4,4,11,3,3,"omnet_1_mplight,omnet_2_mplight,omnet_3_mplight",302.7,0.655743852430206,301.070910492535,304.329089507465,0,0,0,0,-2.44,1.45337538165472,-6.05067599168078,1.17067599168078,1.98333333333333,1.11849601399975,-0.795389050103183,4.76205571676985,0.05,8.49837472194074E-18,0.05,0.05,363.666666666667,20.5507501890645,342.611652762274,394.72168057106
mplight,sumohz4x4,sumo,0.1,1,5,5,6,3,3,"omnet_1_mplight,omnet_2_mplight,omnet_3_mplight",304.866666666667,2.13619599600162,299.559633333333,310.1737,0,0,0,0,-1.32666666666667,0.759758733634128,-3.214164317741,0.560830984407663,1.09,0.611473629848418,-0.429107302014355,2.60910730201436,0.0333333333333333,0.00577350269189626,0.01899,0.0476766666666667,355.333333333333,26.3122278291545,329.964860391266,390.701806275401
mplight,sumohz4x4,sumo,0.1,1,6,6,1,3,3,"omnet_1_mplight,omnet_2_mplight,omnet_3_mplight",302.1,11.4908659377786,273.55280270406,330.64719729594,0,0,0,0,-0.526666666666667,0.240069434400411,-1.12308033519809,0.0697470018647571,0.456666666666667,0.203059925473574,-0.0478028647665453,0.961136198099879,0.02,0,0.02,0.02,345.333333333333,33.0807093837683,318.14966305281,382.517003613857
mplight,sumohz4x4,sumo,0.5,1,7,1,26,3,3,"omnet_1_mplight,omnet_2_mplight,omnet_3_mplight",299.9,2.40624188310317,293.92208135134,305.87791864866,0,0,0,0,-2.07,0.122882057274445,-2.37528059000423,-1.76471940999577,1.87666666666667,0.110151410945722,1.60301330775353,2.15032002557981,0.0866666666666667,0.00577350269189625,0.0723233333333334,0.10101,451.666666666667,2.08166599946613,446.495104287226,456.838229046107
mplight,sumohz4x4,sumo,0.5,1,8,2,21,3,3,"omnet_1_mplight,omnet_2_mplight,omnet_3_mplight",301.933333333333,3.58096821171779,293.036997182173,310.829669484494,0,0,0,0,-1.84,0.13076696830622,-2.1648693757497,-1.5151306242503,1.62333333333333,0.100166528008778,1.37448580060607,1.87218086606059,0.0766666666666667,0.00577350269189625,0.0623233333333334,0.09101,448,2.64575131106459,441.427058928202,454.572941071798
mplight,sumohz4x4,sumo,0.5,1,9,3,16,3,3,"omnet_1_mplight,omnet_2_mplight,omnet_3_mplight",300.033333333333,3.36501609703925,291.673495271837,308.39317139483,0,0,0,0,-1.33666666666667,0.0152752523165195,-1.37461555963837,-1.29871777369496,1.19,0.0346410161513776,1.10394,1.27606,0.06,0,0.06,0.06,435.333333333333,7.63762615825973,416.358886847482,444.307779819185
mplight,sumohz4x4,sumo,0.5,1,10,4,11,3,3,"omnet_1_mplight,omnet_2_mplight,omnet_3_mplight",296.6,0.556776436282986,295.216779025848,297.983220974152,0,0,0,0,-1.00333333333333,0.0152752523165195,-1.04128222630504,-0.96538444036163,0.883333333333333,0.0152752523165195,0.84538444036163,0.921282226305036,0.05,8.49837472194074E-18,0.05,0.05,421,5.29150262212918,407.854117856403,434.145882143597
mplight,sumohz4x4,sumo,0.5,1,11,5,6,3,3,"omnet_1_mplight,omnet_2_mplight,omnet_3_mplight",297.133333333333,7.73584729252931,277.914872330751,316.351794335916,0,0,0,0,-0.586666666666667,0.0115470053837925,-0.615353333333333,-0.55798,0.523333333333333,0.0152752523165195,0.48538444036163,0.561282226305036,0.03,0,0.03,0.03,407,15.7162336455017,367.955560263549,426.044439736451
mplight,sumohz4x4,sumo,0.5,1,12,6,1,3,3,"omnet_1_mplight,omnet_2_mplight,omnet_3_mplight",286.7,16.7149633562267,245.174377883408,328.225622116592,0,0,0,0,-0.343333333333333,0.0152752523165195,-0.381282226305036,-0.30538444036163,0.296666666666667,0.0115470053837925,0.26798,0.325353333333333,0.02,0,0.02,0.02,363,33.6005952328229,333.524757440704,406.475242559296
mplight,sumohz4x4,sumo,1,1,13,1,26,3,3,"omnet_1_mplight,omnet_2_mplight,omnet_3_mplight",300.9,0.900000000000006,298.664095612509,303.135904387491,0,0,0,0,-2.12,0.0916515138991169,-2.34769335783022,-1.89230664216978,1.89,0.07,1.71609632541739,2.06390367458261,0.09,1.69967494438815E-17,0.09,0.0900000000000001,465.333333333333,3.05505046330389,442.743554738993,471.923111927674
mplight,sumohz4x4,sumo,1,1,14,2,21,3,3,"omnet_1_mplight,omnet_2_mplight,omnet_3_mplight",302.466666666667,1.85022521151707,297.870081479692,307.063251853641,0,0,0,0,-1.86,0.0871779788708134,-2.07657958383313,-1.64342041616687,1.63666666666667,0.0808290376865476,1.43586,1.83747333333333,0.0833333333333333,0.00577350269189625,0.06899,0.0976766666666667,448.666666666667,1.52752523165195,434.871777369496,452.461555963837
mplight,sumohz4x4,sumo,1,1,15,3,16,3,3,"omnet_1_mplight,omnet_2_mplight,omnet_3_mplight",298.266666666667,6.07974780178696,283.16251690572,313.370816427614,0,0,0,0,-1.39333333333333,0.0305505046330388,-1.46923111927674,-1.31743554738993,1.23,0.02,1.18031323583354,1.27968676416646,0.0666666666666667,0.00577350269189626,0.0523233333333333,0.08101,434,14.422205101856,418.170364817189,449.829635182811
mplight,sumohz4x4,sumo,1,1,16,4,11,3,3,"omnet_1_mplight,omnet_2_mplight,omnet_3_mplight",301.733333333333,5.6888780381841,287.600236260583,315.866430406083,0,0,0,0,-0.96,0.0173205080756888,-1.00303,-0.91697,0.84,0.01,0.81515661791677,0.86484338208323,0.05,8.49837472194074E-18,0.05,0.05,421.333333333333,2.08166599946613,406.161770953893,426.504895712774
mplight,sumohz4x4,sumo,1,1,17,5,6,3,3,"omnet_1_mplight,omnet_2_mplight,omnet_3_mplight",287.2,1.49331845230681,283.49009191174,290.909908088259,0,0,0,0,-0.656666666666667,0.0152752523165195,-0.69461555963837,-0.618717773694964,0.57,0.0173205080756887,0.52697,0.61303,0.0333333333333333,0.00577350269189626,0.01899,0.0476766666666667,383.666666666667,6.65832811847939,367.125127718377,400.208205614956
mplight,sumohz4x4,sumo,1,1,18,6,1,3,3,"omnet_1_mplight,omnet_2_mplight,omnet_3_mplight",271.3,5.41479454827236,257.847819013508,284.752180986492,0,0,0,0,-0.326666666666667,0.0404145188432738,-0.42707,-0.226263333333333,0.273333333333333,0.0305505046330389,0.197435547389927,0.34923111927674,0.02,0,0.02,0.02,315.333333333333,13.3166562369588,282.250255436754,348.416411229912
